Ticker,MarketCap,PE,ROE,DebtToEquity,Beta,DividendYield
EMN,7320566272.0,10.642738,0.12116,89.235,1.247,5.28
DPZ,14768119808.0,25.43918,,,1.145,1.6
DVA,8432352256.0,12.1707945,0.61618,953.093,0.994,
DRI,21863292928.0,20.09807,0.50411,361.727,0.656,3.23
ZTS,54586908672.0,20.73569,0.49868,135.05,0.971,1.72
ZBH,18115776512.0,22.682383,0.06421,64.523,0.612,1.06
YUM,42178244608.0,29.554476,,,0.668,1.88
XYL,33492822016.0,35.454895,0.08555,18.253,1.174,1.16
XEL,43569860608.0,22.455793,0.09449001,167.891,0.453,3.09
WYNN,13162388480.0,28.068733,,,1.092,0.79
WTW,32096215040.0,15.765692,0.27633,75.685,0.635,1.12
WMB,72161820672.0,30.616581,0.16902,188.338,0.637,3.42
WY,17049304064.0,51.369564,0.03419,58.233,1.088,3.61
WDC,60736507904.0,24.91983,0.29707,,1.886,0.29
WELL,131040608256.0,131.67586,0.0275,46.211,0.84,1.55
WFC,297583640576.0,15.303953,0.115200005,,1.108,1.95
WEC,34025777152.0,19.810604,0.12807,151.448,0.556,3.65
WAT,22526754816.0,34.84162,0.32987,66.042,1.163,
WM,88288313344.0,34.51181,0.29328,245.399,0.586,1.51
WMT,922060259328.0,40.437065,0.23661,66.747,0.641,0.81
WBA,,,,,,
WAB,36613042176.0,31.128632,0.11147001,51.131,0.994,0.47
GWW,48777170944.0,28.58859,0.46719003,68.67,1.116,0.88
WRB,25936445440.0,14.338235,0.20887,31.481,0.375,0.53
VMC,37980368896.0,33.936836,0.13520999,56.296,1.064,0.67
V,665756631040.0,33.754402,0.52068,68.807,0.822,0.78
VRTX,116011646976.0,31.887247,0.22307,10.594,0.321,
VZ,172135579648.0,8.704691,0.19875,164.799,0.32,6.77
VRSK,30537502720.0,33.5745,2.68133,1295.046,0.814,0.83
VRSN,22823454720.0,28.477856,,,0.778,1.27
VTR,36911607808.0,148.26416,0.021559998,100.11,0.794,2.45
VLO,50341117952.0,33.760414,0.052389998,39.561,0.759,2.78
UHS,14057150464.0,10.508563,0.20028,70.037,1.274,0.36
UNH,300136038400.0,17.275024,0.17476,75.734,0.432,2.65
URI,52743073792.0,21.121874,0.28781,169.022,1.678,0.87
UPS,84880982016.0,15.463679,0.33618,184.32,1.094,6.55
UAL,36401098752.0,11.266534,0.25588,218.897,1.304,
